Timestamp,pCut::Motor_Torque,pCut::CTRL_Position_controller::Lag_error,pCut::CTRL_Position_controller::Actual_position,pCut::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Actual_position,pSvolFilm::CTRL_Position_controller::Actual_speed,pSvolFilm::CTRL_Position_controller::Lag_error
-0.191999973,-0.114454418,0.00300312,-855806,-6.866455078,11127,5.008876324,0.318214476
-0.187999973,-0.081610493,-0.003863335,-855806,-3.433227539,11127,2.504587173,0.318214476
-0.183999974,-0.086573228,-0.005236626,-855806,0,11127,-2.50428915,0.320218027
-0.179999974,-0.088997804,-0.001116753,-855806,0,11127,0,0.320218027
-0.175999974,-0.085086003,-0.001116753,-855806,0,11127,-2.50428915,0.320218027
-0.171999975,-0.079167791,-0.003863335,-855806,0,11127,5.008876324,0.318214476
-0.167999975,-0.100380063,0.00300312,-855806,0,11127,0,0.319216311
-0.163999975,-0.105536565,0.000256538,-855806,6.866455078,11127,2.50428915,0.319216311
-0.159999975,-0.09481471,-0.001116753,-855806,3.433227539,11127,0,0.319216311
-0.155999976,-0.086290963,-0.001116753,-855806,0,11127,2.50428915,0.319216311
-0.151999976,-0.103577986,0.00300312,-855806,-10.29968262,11127,-2.50428915,0.320218027
-0.147999976,-0.096825235,-0.001116753,-855806,-3.433227539,11127,0,0.320218027
-0.143999976,-0.09021043,-0.001116753,-855806,0,11127,-2.50428915,0.320218027
-0.139999977,-0.094531529,-0.001116753,-855806,10.29968262,11127,0,0.320218027
-0.135999977,-0.087424241,-0.002490044,-855806,3.433227539,11127,0,0.320218027
-0.131999977,-0.101670824,0.000256538,-855806,-3.433227539,11127,-2.50428915,0.320218027
-0.127999978,-0.088710748,-0.001116753,-855806,3.433227539,11127,-2.50428915,0.320218027
-0.123999978,-0.106565639,0.000256538,-855806,-3.433227539,11127,0,0.319216311
-0.119999978,-0.094089799,-0.001116753,-855806,0,11127,-2.50428915,0.320218027
-0.115999978,-0.098926924,0.000256538,-855806,0,11127,0,0.320218027
-0.111999979,-0.122303642,0.000256538,-855806,0,11127,-2.50428915,0.320218027
-0.107999979,-0.102528542,-0.001116753,-855806,0,11127,0,0.319216311
-0.103999979,-0.096914276,0.000256538,-855806,-3.433227539,11127,0,0.320218027
-0.09999998,-0.097782835,-0.001116753,-855806,0,11127,2.50428915,0.319216311
-0.09599998,-0.10658823,-0.001116753,-855806,-6.866455078,11127,0,0.320218027
-0.09199998,-0.110211827,0.000256538,-855806,-3.433227539,11127,0,0.319216311
-0.08799998,-0.101037323,-0.001116753,-855806,3.433227539,11127,-2.50428915,0.320218027
-0.083999981,-0.092076182,0.000256538,-855806,0,11127,2.504587173,0.318214476
-0.079999981,-0.105846994,0.000256538,-855806,-3.433227539,11127,0,0.318214476
-0.075999981,-0.101042166,-0.001116753,-855806,10.29968262,11127,0,0.319216311
-0.071999981,-0.08786089,-0.001116753,-855806,0,11127,-2.50428915,0.320218027
-0.067999982,-0.095233954,-0.001116753,-855806,0,11127,2.50428915,0.319216311
-0.063999982,-0.099134855,-0.001116753,-855806,-3.433227539,11127,0,0.319216311
-0.059999982,-0.105037361,-0.001116753,-855806,0,11127,2.504587173,0.318214476
-0.055999983,-0.110081427,-0.001116753,-855806,3.433227539,11127,0,0.319216311
-0.051999983,-0.105475329,-0.001116753,-855806,3.433227539,11127,0,0.320218027
-0.047999983,-0.12374603,0.00300312,-855806,0,11127,-2.50428915,0.320220977
-0.043999983,-0.089329973,0.001867294,-855806,6.866455078,11127,2.50428915,0.319664359
-0.039999984,-0.093689188,0.000284195,-855806,10.29968262,11127,2.50428915,0.32187143
-0.035999984,-0.113617435,0.002843857,-855806,0,11127,2.504587173,0.326242328
-0.031999984,-0.153169632,0.009090424,-855806,6.866455078,11127,0,0.334154576
-0.027999984,-0.162144765,0.009418488,-855806,3.433227539,11127,0,0.34595716
-0.023999985,-0.177179366,0.011842728,-855806,3.433227539,11127,0,0.361972898
-0.019999985,-0.191340163,0.016370773,-855806,6.866455078,11127,5.0085783,0.380494624
-0.015999985,-0.209688067,0.018427849,-855806,17.1661377,11127,7.513165474,0.399788886
-0.011999986,-0.238350272,0.020994186,-855806,13.73291016,11127,10.0171566,0.419097424
-0.007999986,-0.26597631,0.019033432,-855806,17.1661377,11127,15.02603245,0.43763572
-0.003999986,-0.302891135,0.02124691,-855806,13.73291016,11127,12.52174377,0.45359081
1.35899E-08,-0.263768792,0.006117821,-855806,30.89904785,11127,20.03461075,0.467127442
0.004000013,-0.259993613,-0.004383087,-855805,27.46582031,11128,22.53889465,0.486396819
0.008000013,-0.259811819,-0.003852844,-855805,41.19873047,11128,27.54777527,0.503497243
0.012000013,-0.272102833,-0.00488472,-855805,37.76550293,11128,32.55635452,0.521518946
0.016000012,-0.250157326,-0.007946014,-855805,54.93164063,11128,35.06064224,0.547532618
0.020000012,-0.313904196,0.004117966,-855805,48.06518555,11128,40.06951904,0.566543996
0.024000012,-0.316698074,0.003826141,-855805,51.49841309,11128,47.58268356,0.58156532
0.028000012,-0.331264704,0.002832413,-855804,58.36486816,11128,60.10412979,0.587566972
0.032000011,-0.285614073,-0.010556221,-855804,65.23132324,11129,67.61699677,0.592515886
0.036000011,-0.240179971,-0.025379181,-855804,75.53100586,11129,77.63445282,0.594334424
0.040000011,-0.237873986,-0.019464493,-855804,78.9642334,11129,72.6255722,0.59392643
0.044000011,-0.270020068,-0.009552956,-855803,78.9642334,11130,80.13903809,0.590162992
0.04800001,-0.276036114,0.000883102,-855803,85.83068848,11130,87.65190125,0.592908144
0.05200001,-0.263574809,-0.008112907,-855802,99.56359863,11130,92.66078186,0.598979831
0.05600001,-0.255239308,-0.009578705,-855802,106.4300537,11131,100.173645,0.605166554
0.060000009,-0.235650882,-0.012496948,-855802,102.9968262,11131,107.6868134,0.617246985
0.064000009,-0.260403901,-0.00799942,-855801,109.8632813,11132,110.1908035,0.634961486
0.068000009,-0.260983437,-3.8147E-05,-855801,123.5961914,11132,127.7214279,0.655023277
